iter	Logloss
0	0.6923052705
1	0.691078935
2	0.6901314516
3	0.6892682073
4	0.6884725386
5	0.6876615152
6	0.6868635334
7	0.6861047453
8	0.6850298159
9	0.6837702008
10	0.6830477078
11	0.6823013362
12	0.6813621815
13	0.6801638427
14	0.6790759998
15	0.67822269
16	0.6771821674
17	0.6764565996
18	0.6756993894
19	0.6747860646
20	0.6740197395
21	0.672870844
22	0.6721771718
23	0.67149767
24	0.6707622248
25	0.6700613621
26	0.6693696394
27	0.6686671779
28	0.6677846689
29	0.667076984
30	0.6659028685
31	0.6647350816
32	0.6639343928
33	0.6632181469
34	0.6625458448
35	0.6618433707
36	0.661133336
37	0.6602832902
38	0.6596222164
39	0.6585486373
40	0.6574158633
41	0.6562898936
42	0.6556422965
43	0.6545250352
44	0.6535853074
45	0.6529244537
46	0.6518198912
47	0.650760011
48	0.6496668019
49	0.6487822298
50	0.6481599397
51	0.6471176974
52	0.6464608826
53	0.645554521
54	0.6447925405
55	0.6437278876
56	0.6431235395
57	0.6423435298
58	0.6416976909
59	0.640647295
60	0.6398770798
61	0.6391988431
62	0.6381609283
63	0.6372815633
64	0.6362530077
65	0.6352799236
66	0.6343653775
67	0.6335794152
68	0.6329049274
69	0.6321140399
70	0.6312604139
71	0.6306917823
72	0.6299600511
73	0.629309035
74	0.6287093081
75	0.627766947
76	0.6268180495
77	0.6259138263
78	0.6251814409
79	0.6242083105
80	0.62356804
81	0.6230243196
82	0.6224528848
83	0.6218977655
84	0.6211635836
85	0.6204476625
86	0.6196333427
87	0.6187647333
88	0.6178222826
89	0.6171593938
90	0.6162744513
91	0.6153784216
92	0.6145756707
93	0.6137696711
94	0.6131030353
95	0.6124420497
96	0.611528417
97	0.6110174934
98	0.6102441214
99	0.60948951
100	0.6087259311
101	0.6082335305
102	0.6074891466
103	0.6067816761
104	0.6062985361
105	0.60547461
106	0.6049993559
107	0.6044910215
108	0.6040305896
109	0.6035337379
110	0.6026626567
111	0.6018790236
112	0.6013902505
113	0.6007715884
114	0.6002804495
115	0.5996671632
116	0.599219991
117	0.5987688409
118	0.5981626202
119	0.5976920914
120	0.5969377061
121	0.596097826
122	0.5953144128
123	0.59452281
124	0.5940093764
125	0.593552933
126	0.5928861929
127	0.5924823636
128	0.5917704848
129	0.5913468258
130	0.5909255699
131	0.5901629164
132	0.5894032515
133	0.588679549
134	0.5881656878
135	0.5873991859
136	0.5866929009
137	0.5860447137
138	0.5854856856
139	0.5849414922
140	0.584157251
141	0.5833771707
142	0.5829781548
143	0.5825743385
144	0.5820296569
145	0.5815503222
146	0.5808620682
147	0.5800974136
148	0.5796874685
149	0.5789292714
150	0.578554601
151	0.5781747527
152	0.5774240966
153	0.5767915551
154	0.5761388476
155	0.5754749477
156	0.5750614453
157	0.5743257381
158	0.5735931056
